# Bundle file v0.3
39 7603
2.8171305802e+03 8.2741133877e-02 -1.1432126838e-01
-9.9679314481e-01 3.4611771891e-02 -7.2148816368e-02
-7.1187491355e-02 -7.9534446405e-01 6.0196305915e-01
-3.6548153595e-02 6.0516874404e-01 7.9525783474e-01
-2.5154740320e-01 1.8003476419e+00 -7.8151490169e-01
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2.8244712303e+03 8.4275748045e-02 -1.2378465238e-01
9.9973706439e-01 7.1300854690e-03 2.1793668236e-02
-6.8791940075e-03 9.9990945386e-01 -1.1565498849e-02
-2.1874157899e-02 1.1412534996e-02 9.9969559130e-01
7.2189017952e-02 -2.8451801711e-02 1.2062272733e-02
2.8404801751e+03 9.0036300904e-02 -1.3908101586e-01
9.9878694116e-01 2.6043547807e-02 4.1789709047e-02
-3.5145319869e-02 9.7146565158e-01 2.3456191994e-01
-3.4488442353e-02 -2.3574609522e-01 9.7120251541e-01
1.7141975053e-01 1.0052175711e+00 -1.1666319296e-01
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2.8434487581e+03 5.8027556437e-02 -4.7111906039e-02
-8.9529106115e-01 -2.8725785072e-01 -3.4049499706e-01
-7.5495795431e-02 -6.5543808778e-01 7.5146609901e-01
-4.3903792626e-01 6.9848682185e-01 5.6512110119e-01
-1.3780648837e+00 2.3952637093e+00 -1.1346983518e+00
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2.8191599413e+03 5.5027385222e-02 -2.5483491356e-02
-8.8357070276e-01 -3.6837961047e-01 -2.8913539355e-01
-6.3619206860e-02 -5.1727013551e-01 8.5345427729e-01
-4.6395625843e-01 7.7248175997e-01 4.3360871851e-01
-1.2220545096e+00 2.6484869224e+00 -1.6015626402e+00
2.8402592373e+03 6.7725782995e-02 -6.8207650973e-02
-7.8239170334e-01 -2.8799739999e-01 -5.5219626959e-01
2.4650998997e-02 -9.0027998728e-01 4.3461278485e-01
-6.2229860260e-01 3.2642524734e-01 7.1147101635e-01
-2.0228529737e+00 1.3030301850e+00 -5.7553263093e-01
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
